iter	RMSE
0	24809999.03
1	22897179.04
2	21157189.47
3	19601822.15
4	18272295.23
5	17057841.48
6	15877198.34
7	14852848.47
8	13929341.92
9	13106494.34
10	12364422.58
11	11766046.93
12	11168754.38
13	10675041.17
14	10162248.62
15	9776829.718
16	9444884.138
17	9148419.28
18	8844418.927
19	8570154.347
20	8303982.769
21	8053688.162
22	7844612.183
23	7636250.051
24	7458572.284
25	7318269.011
26	7179319.873
27	7067247.407
28	6959347.766
29	6846907.864
30	6757791.046
31	6663476.77
32	6580274.87
33	6511330.855
34	6447517.576
35	6378249.15
36	6322304.002
37	6264537.932
38	6212877.951
39	6158841.496
40	6113659.135
41	6061749.543
42	6017578.17
43	5977706.133
44	5931772.91
45	5894102.346
46	5853310.012
47	5814582.048
48	5782329.391
49	5736061.201
50	5689767.753
51	5661005.017
52	5620905.87
53	5595611.953
54	5569124.945
55	5541005.537
56	5516202.329
57	5487734.111
58	5464195.162
59	5434936.283
60	5406733.165
61	5388383.329
62	5361303.265
63	5327757.441
64	5302784.344
65	5284268.006
66	5261152.522
67	5254288.421
68	5228730.227
69	5199690.994
70	5176803.993
71	5156677.67
72	5138722.128
73	5117089.863
74	5105028.35
75	5083796.825
76	5067580.531
77	5049899.64
78	5034113.812
79	5019970.772
80	5008259.682
81	4995644.759
82	4980676.156
83	4955834.438
84	4936723.09
85	4912447.479
86	4901417.14
87	4880477.457
88	4866750.532
89	4851323.118
90	4836593.1
91	4834048.812
92	4822139.209
93	4793883.496
94	4779343.716
95	4752058.64
96	4737128.631
97	4726027.101
98	4709247.326
99	4694211.22
100	4686619.21
101	4674853.659
102	4660038.821
103	4648611.303
104	4638410.984
105	4628987.055
106	4615928.454
107	4603265.324
108	4585450.126
109	4573342.011
110	4563724.276
111	4540359.588
112	4530100.044
113	4515230.683
114	4503070.037
115	4482820.193
116	4472170.062
117	4451470.396
118	4439990.414
119	4420454.021
120	4408908.192
121	4401359.256
122	4384183.642
123	4367527.479
124	4360499.885
125	4344784.565
126	4328537.083
127	4307283.408
128	4290869.182
129	4272062.637
130	4258244.05
131	4240226.972
132	4229907.625
133	4221182.071
134	4211427.043
135	4198830.875
136	4187708.27
137	4170018.086
138	4159480.214
139	4141941.597
140	4134279.39
141	4121639.712
142	4109722.65
143	4096403.725
144	4090393.226
145	4077025.767
146	4057863.018
147	4048645.629
148	4036495.116
149	4028669.409
150	4013411.478
151	4009423.837
152	3995091.99
153	3984135.238
154	3973729.428
155	3955161.601
156	3946031.1
157	3937122.885
158	3932089.79
159	3909062.196
160	3884221.859
161	3874885.319
162	3864245.83
163	3849410.505
164	3839018.483
165	3825070.566
166	3818641.196
167	3805672.677
168	3793897.3
169	3777146.253
170	3760206.366
171	3750464.083
172	3742187.267
173	3737031.76
174	3730761.669
175	3720333.481
176	3706778.534
