iter	Passed	Remaining
0	154	154257
1	163	81702
2	174	57942
3	185	46135
4	196	39199
5	208	34496
6	218	30938
7	227	28186
8	237	26169
9	246	24440
10	257	23123
11	266	21945
12	275	20924
13	286	20180
14	295	19402
15	304	18746
16	315	18235
17	325	17777
18	334	17277
19	345	16927
20	354	16531
21	365	16250
22	376	15971
23	385	15685
24	394	15375
25	405	15185
26	415	14976
27	427	14841
28	438	14675
29	447	14481
30	456	14267
31	466	14120
32	475	13938
33	486	13808
34	496	13695
35	505	13535
36	515	13412
37	523	13263
38	534	13160
39	543	13035
40	553	12946
41	568	12965
42	581	12940
43	595	12940
44	609	12926
45	620	12870
46	630	12783
47	642	12746
48	652	12670
49	663	12601
50	673	12537
51	682	12446
52	691	12361
53	701	12280
54	710	12207
55	721	12156
56	732	12119
57	742	12057
58	751	11992
59	761	11933
60	770	11859
61	781	11818
62	790	11760
63	801	11726
64	810	11664
65	820	11607
66	829	11557
67	831	11390
68	841	11348
69	851	11308
70	860	11265
71	869	11210
72	879	11165
73	889	11126
74	900	11101
75	910	11074
76	920	11037
77	930	10996
78	940	10962
79	949	10918
80	959	10883
81	968	10847
82	978	10808
83	988	10781
84	998	10743
85	1007	10712
86	1017	10679
87	1027	10644
88	1037	10616
89	1047	10594
90	1056	10556
91	1058	10443
92	1067	10412
93	1076	10379
94	1086	10348
95	1095	10317
96	1105	10294
97	1114	10259
98	1125	10239
99	1134	10213
100	1144	10187
101	1154	10162
102	1165	10152
103	1175	10124
104	1184	10099
105	1195	10081
106	1206	10066
107	1217	10051
108	1227	10034
109	1240	10037
110	1251	10026
111	1262	10012
112	1272	9985
113	1281	9959
114	1290	9932
115	1300	9911
116	1309	9884
117	1318	9858
118	1328	9835
119	1337	9811
120	1349	9799
121	1357	9773
122	1368	9759
123	1377	9729
124	1387	9711
125	1395	9680
126	1406	9666
127	1415	9643
128	1425	9627
129	1435	9604
130	1443	9578
131	1454	9563
132	1463	9539
133	1472	9515
134	1481	9490
135	1489	9464
136	1499	9444
137	1509	9426
138	1518	9403
139	1526	9377
140	1535	9356
141	1547	9347
142	1556	9326
143	1565	9303
144	1576	9295
145	1585	9275
146	1594	9252
147	1604	9235
148	1614	9221
149	1624	9205
150	1634	9187
151	1643	9168
152	1652	9149
153	1663	9139
154	1672	9118
155	1683	9109
156	1692	9089
157	1703	9077
158	1713	9064
159	1723	9047
160	1732	9030
161	1742	9011
162	1751	8996
163	1760	8975
164	1770	8957
165	1780	8946
166	1790	8931
167	1799	8911
168	1809	8897
169	1820	8887
170	1832	8881
171	1842	8867
172	1851	8851
173	1861	8834
174	1870	8818
175	1880	8801
176	1890	8788
177	1899	8771
178	1910	8762
179	1919	8744
180	1928	8726
181	1938	8712
182	1947	8694
183	1958	8683
184	1969	8675
185	1978	8658
186	1988	8646
187	1997	8627
188	2007	8612
189	2015	8594
190	2025	8581
191	2036	8570
192	2045	8554
193	2055	8539
194	2065	8525
195	2074	8510
196	2084	8495
197	2094	8482
198	2105	8475
199	2115	8463
200	2126	8451
201	2136	8439
202	2146	8426
203	2155	8409
204	2166	8400
205	2177	8391
206	2186	8376
207	2195	8361
208	2204	8344
209	2214	8332
210	2226	8326
211	2237	8316
212	2247	8303
213	2258	8294
214	2268	8280
215	2278	8271
216	2289	8262
217	2298	8245
218	2309	8234
219	2319	8222
220	2330	8215
221	2342	8208
222	2351	8194
223	2362	8183
224	2373	8176
225	2382	8160
226	2392	8147
227	2401	8130
228	2412	8123
229	2422	8109
230	2433	8099
231	2445	8095
232	2455	8082
233	2465	8070
234	2475	8057
235	2483	8040
236	2492	8024
237	2503	8015
238	2513	8002
239	2524	7995
240	2534	7981
241	2545	7972
242	2555	7960
243	2565	7947
244	2573	7931
245	2582	7914
246	2592	7904
247	2602	7890
248	2612	7879
249	2622	7867
250	2631	7851
251	2640	7836
252	2648	7820
253	2658	7808
254	2668	7796
255	2678	7784
256	2688	7773
257	2698	7759
258	2707	7745
259	2717	7733
260	2727	7722
261	2738	7714
262	2748	7700
263	2758	7689
264	2767	7677
265	2776	7662
266	2785	7647
267	2794	7631
268	2803	7618
269	2813	7607
270	2823	7594
271	2832	7581
272	2843	7571
273	2851	7556
274	2861	7543
275	2871	7531
276	2881	7521
277	2892	7512
278	2902	7499
279	2913	7490
280	2922	7476
281	2933	7469
282	2942	7454
283	2952	7442
284	2963	7434
285	2973	7423
286	2982	7410
287	2993	7400
288	3002	7386
289	3012	7376
290	3023	7366
291	3033	7354
292	3042	7341
293	3053	7332
294	3064	7322
295	3073	7309
296	3083	7299
297	3095	7291
298	3104	7278
299	3115	7269
300	3125	7259
301	3136	7248
302	3145	7236
303	3155	7224
304	3166	7215
305	3175	7202
306	3184	7188
307	3195	7178
308	3205	7168
309	3215	7157
310	3224	7144
311	3234	7132
312	3243	7118
313	3254	7109
314	3264	7098
315	3273	7086
316	3282	7073
317	3292	7060
318	3301	7048
319	3312	7039
320	3323	7029
321	3334	7020
322	3345	7012
323	3355	7001
324	3366	6991
325	3375	6978
326	3385	6968
327	3395	6957
328	3407	6949
329	3416	6936
330	3426	6925
331	3437	6917
332	3448	6907
333	3457	6893
334	3466	6880
335	3476	6870
336	3486	6858
337	3496	6847
338	3505	6835
339	3516	6825
340	3526	6815
341	3537	6805
342	3547	6794
343	3557	6784
344	3568	6774
345	3578	6763
346	3588	6753
347	3598	6742
348	3607	6730
349	3618	6720
350	3629	6711
351	3638	6698
352	3647	6685
353	3658	6676
354	3668	6665
355	3678	6654
356	3687	6641
357	3696	6629
358	3705	6616
359	3715	6605
360	3724	6593
361	3734	6582
362	3745	6572
363	3755	6561
364	3764	6549
365	3775	6539
366	3783	6526
367	3793	6514
368	3802	6502
369	3811	6489
370	3821	6479
371	3831	6468
372	3841	6456
373	3850	6445
374	3861	6436
375	3871	6424
376	3881	6414
377	3891	6403
378	3899	6390
379	3908	6377
380	3917	6364
381	3928	6355
382	3938	6344
383	3949	6335
384	3958	6323
385	3969	6314
386	3980	6304
387	3989	6293
388	3999	6281
389	4008	6270
390	4018	6258
391	4029	6249
392	4040	6239
393	4050	6229
394	4060	6218
395	4069	6206
396	4078	6194
397	4086	6181
398	4095	6169
399	4104	6156
400	4114	6146
401	4124	6135
402	4133	6123
403	4144	6114
404	4155	6104
405	4165	6093
406	4174	6082
407	4186	6074
408	4197	6064
409	4208	6055
410	4216	6042
411	4226	6032
412	4237	6023
413	4248	6014
414	4260	6005
415	4268	5992
416	4277	5979
417	4287	5969
418	4298	5960
419	4306	5947
420	4315	5935
421	4324	5922
422	4333	5910
423	4342	5898
424	4351	5887
425	4361	5877
426	4371	5865
427	4380	5853
428	4390	5843
429	4399	5831
430	4408	5819
431	4417	5807
432	4427	5798
433	4437	5786
434	4446	5775
435	4457	5766
436	4466	5753
437	4474	5741
438	4486	5733
439	4496	5723
440	4505	5711
441	4516	5701
442	4527	5692
443	4536	5680
444	4544	5668
445	4554	5656
446	4562	5644
447	4572	5634
448	4581	5622
449	4590	5610
450	4599	5599
451	4608	5587
452	4618	5576
453	4628	5566
454	4638	5555
455	4646	5543
456	4655	5531
457	4665	5521
458	4675	5511
459	4684	5499
460	4693	5487
461	4704	5477
462	4714	5468
463	4725	5458
464	4736	5450
465	4747	5439
466	4756	5429
467	4767	5419
468	4776	5408
469	4786	5397
470	4795	5386
471	4809	5380
472	4819	5369
473	4828	5358
474	4838	5347
475	4847	5336
476	4858	5326
477	4868	5316
478	4877	5305
479	4887	5294
480	4899	5286
481	4908	5275
482	4918	5264
483	4927	5253
484	4936	5241
485	4945	5230
486	4956	5220
487	4965	5209
488	4974	5198
489	4983	5187
490	4993	5176
491	5003	5165
492	5012	5155
493	5022	5144
494	5032	5133
495	5042	5123
496	5052	5113
497	5061	5101
498	5070	5091
499	5079	5079
500	5090	5069
501	5100	5059
502	5111	5050
503	5122	5040
504	5132	5030
505	5141	5019
506	5151	5009
507	5161	4998
508	5170	4987
509	5178	4975
510	5187	4964
511	5198	4954
512	5207	4943
513	5216	4932
514	5225	4921
515	5235	4910
516	5246	4901
517	5256	4891
518	5266	4880
519	5275	4869
520	5285	4859
521	5294	4848
522	5305	4839
523	5316	4829
524	5325	4818
525	5337	4809
526	5347	4799
527	5358	4789
528	5368	4780
529	5378	4769
530	5388	4759
531	5398	4749
532	5407	4738
533	5416	4726
534	5426	4716
535	5435	4705
536	5446	4695
537	5456	4685
538	5465	4674
539	5476	4664
540	5485	4654
541	5495	4644
542	5506	4634
543	5516	4624
544	5525	4613
545	5534	4602
546	5545	4592
547	5554	4581
548	5563	4570
549	5572	4559
550	5583	4549
551	5592	4538
552	5601	4527
553	5611	4517
554	5620	4506
555	5631	4496
556	5639	4485
557	5649	4474
558	5660	4465
559	5669	4454
560	5679	4444
561	5689	4434
562	5698	4423
563	5708	4412
564	5717	4402
565	5727	4391
566	5736	4381
567	5748	4372
568	5758	4362
569	5768	4351
570	5777	4340
571	5787	4330
572	5796	4319
573	5805	4308
574	5816	4298
575	5824	4287
576	5834	4277
577	5845	4268
578	5854	4256
579	5863	4245
580	5872	4235
581	5882	4224
582	5891	4214
583	5902	4204
584	5911	4193
585	5921	4183
586	5930	4172
587	5940	4162
588	5949	4151
589	5958	4140
590	5967	4130
591	5978	4120
592	5988	4110
593	5998	4099
594	6008	4090
595	6019	4080
596	6028	4069
597	6037	4058
598	6046	4047
599	6055	4037
600	6067	4027
601	6076	4017
602	6086	4007
603	6097	3997
604	6107	3987
605	6117	3977
606	6127	3967
607	6136	3956
608	6145	3945
609	6154	3935
610	6163	3924
611	6174	3914
612	6183	3904
613	6194	3894
614	6205	3884
615	6214	3873
616	6223	3862
617	6232	3852
618	6242	3842
619	6251	3831
620	6262	3822
621	6273	3812
622	6283	3802
623	6295	3793
624	6304	3782
625	6314	3772
626	6322	3761
627	6332	3751
628	6341	3740
629	6350	3729
630	6359	3719
631	6369	3708
632	6378	3697
633	6389	3688
634	6397	3677
635	6407	3667
636	6419	3658
637	6429	3648
638	6439	3638
639	6448	3627
640	6457	3616
641	6465	3605
642	6476	3595
643	6486	3585
644	6495	3574
645	6503	3564
646	6512	3553
647	6521	3542
648	6531	3532
649	6541	3522
650	6550	3511
651	6560	3501
652	6569	3490
653	6578	3480
654	6586	3469
655	6596	3459
656	6604	3448
657	6615	3438
658	6625	3428
659	6635	3418
660	6644	3407
661	6654	3397
662	6664	3387
663	6674	3377
664	6685	3367
665	6696	3358
666	6707	3348
667	6716	3338
668	6724	3327
669	6733	3316
670	6741	3305
671	6751	3295
672	6761	3285
673	6772	3275
674	6781	3265
675	6791	3255
676	6801	3245
677	6810	3234
678	6818	3223
679	6827	3212
680	6836	3202
681	6845	3192
682	6854	3181
683	6865	3171
684	6875	3161
685	6886	3151
686	6896	3141
687	6906	3131
688	6916	3122
689	6926	3111
690	6936	3101
691	6946	3091
692	6954	3081
693	6965	3071
694	6973	3060
695	6982	3050
696	6993	3040
697	7003	3030
698	7014	3020
699	7023	3009
700	7033	2999
701	7044	2990
702	7053	2980
703	7063	2969
704	7071	2958
705	7079	2948
706	7089	2937
707	7098	2927
708	7109	2917
709	7120	2908
710	7130	2898
711	7140	2888
712	7150	2878
713	7160	2868
714	7170	2858
715	7179	2847
716	7189	2837
717	7200	2828
718	7210	2818
719	7219	2807
720	7230	2797
721	7241	2788
722	7251	2778
723	7261	2768
724	7270	2757
725	7282	2748
726	7292	2738
727	7301	2728
728	7310	2717
729	7319	2707
730	7328	2696
731	7338	2686
732	7348	2676
733	7358	2666
734	7367	2656
735	7376	2646
736	7385	2635
737	7394	2625
738	7403	2614
739	7412	2604
740	7422	2594
741	7433	2584
742	7443	2574
743	7452	2564
744	7461	2553
745	7472	2544
746	7481	2533
747	7491	2523
748	7501	2513
749	7512	2504
750	7521	2493
751	7531	2483
752	7543	2474
753	7553	2464
754	7563	2454
755	7574	2444
756	7585	2434
757	7594	2424
758	7604	2414
759	7614	2404
760	7624	2394
761	7634	2384
762	7644	2374
763	7655	2364
764	7666	2355
765	7676	2345
766	7687	2335
767	7696	2325
768	7706	2314
769	7715	2304
770	7725	2294
771	7734	2284
772	7743	2274
773	7754	2264
774	7764	2254
775	7774	2244
776	7783	2233
777	7793	2223
778	7802	2213
779	7812	2203
780	7822	2193
781	7832	2183
782	7842	2173
783	7852	2163
784	7863	2153
785	7873	2143
786	7882	2133
787	7891	2123
788	7900	2112
789	7910	2102
790	7921	2092
791	7930	2082
792	7939	2072
793	7950	2062
794	7961	2052
795	7969	2042
796	7978	2032
797	7988	2022
798	8000	2012
799	8009	2002
800	8017	1991
801	8027	1981
802	8036	1971
803	8047	1961
804	8057	1951
805	8067	1941
806	8078	1932
807	8088	1922
808	8097	1911
809	8109	1902
810	8118	1892
811	8128	1881
812	8138	1871
813	8147	1861
814	8156	1851
815	8167	1841
816	8177	1831
817	8188	1821
818	8199	1812
819	8209	1801
820	8219	1792
821	8230	1782
822	8240	1772
823	8251	1762
824	8260	1752
825	8270	1742
826	8279	1732
827	8291	1722
828	8299	1712
829	8309	1701
830	8317	1691
831	8326	1681
832	8334	1670
833	8343	1660
834	8353	1650
835	8362	1640
836	8372	1630
837	8381	1620
838	8392	1610
839	8402	1600
840	8413	1590
841	8423	1580
842	8434	1570
843	8442	1560
844	8453	1550
845	8463	1540
846	8471	1530
847	8481	1520
848	8489	1509
849	8500	1500
850	8508	1489
851	8519	1479
852	8530	1470
853	8539	1459
854	8549	1449
855	8559	1439
856	8568	1429
857	8577	1419
858	8586	1409
859	8596	1399
860	8606	1389
861	8616	1379
862	8625	1369
863	8634	1359
864	8645	1349
865	8655	1339
866	8665	1329
867	8675	1319
868	8684	1309
869	8694	1299
870	8704	1289
871	8715	1279
872	8723	1269
873	8733	1259
874	8741	1248
875	8751	1238
876	8761	1228
877	8773	1219
878	8783	1209
879	8793	1199
880	8802	1188
881	8811	1178
882	8820	1168
883	8830	1158
884	8840	1148
885	8850	1138
886	8859	1128
887	8868	1118
888	8877	1108
889	8888	1098
890	8897	1088
891	8906	1078
892	8915	1068
893	8926	1058
894	8936	1048
895	8945	1038
896	8954	1028
897	8964	1018
898	8974	1008
899	8985	998
900	8993	988
901	9002	978
902	9012	968
903	9020	957
904	9029	947
905	9039	937
906	9048	927
907	9057	917
908	9066	907
909	9075	897
910	9085	887
911	9095	877
912	9103	867
913	9114	857
914	9123	847
915	9133	837
916	9142	827
917	9152	817
918	9162	807
919	9172	797
920	9182	787
921	9191	777
922	9202	767
923	9212	757
924	9220	747
925	9229	737
926	9238	727
927	9248	717
928	9257	707
929	9267	697
930	9277	687
931	9288	677
932	9299	667
933	9310	657
934	9318	647
935	9329	637
936	9340	628
937	9349	618
938	9359	608
939	9369	598
940	9379	588
941	9391	578
942	9400	568
943	9409	558
944	9418	548
945	9429	538
946	9439	528
947	9448	518
948	9459	508
949	9469	498
950	9477	488
951	9482	478
952	9493	468
953	9501	458
954	9510	448
955	9519	438
956	9529	428
957	9538	418
958	9549	408
959	9559	398
960	9567	388
961	9578	378
962	9586	368
963	9596	358
964	9605	348
965	9613	338
966	9621	328
967	9631	318
968	9641	308
969	9652	298
970	9662	288
971	9672	278
972	9681	268
973	9690	258
974	9700	248
975	9711	238
976	9721	228
977	9732	218
978	9742	208
979	9751	199
980	9761	189
981	9772	179
